,nA1,steps,nA2,age,social,neigh10,reprod,food,death,mutation_rate,time,combination,start_cog,round
120,11378.0,120,39.0,12.589743589743593,0.030421650024137367,0.9916243159466932,0.054054054054054064,0.0,0.0,0.025,24985.76765155792,7,100.0,1
121,11382.0,121,39.0,13.589743589743593,0.029431381497211487,0.9918210348938324,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
122,11551.0,122,39.0,14.589743589743593,0.029431381497211487,0.9941071326864068,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
123,11924.0,123,39.0,15.589743589743593,0.02943138149721148,1.0005517863378337,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
124,12310.0,124,39.0,16.58974358974359,0.029431381497211487,1.0079537378537309,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
125,12580.0,125,39.0,17.58974358974359,0.029431381497211494,1.0128390958665023,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
126,12687.0,126,39.0,18.58974358974359,0.02943138149721148,1.015054725114803,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
127,12717.0,127,40.0,19.1,0.0286955969597812,1.0154822385910616,0.02564102564102564,0.0,0.0,0.025,24985.76765155792,7,100.0,1
128,12732.0,128,40.0,20.1,0.03711489935080413,1.0158038829572682,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
129,12772.0,129,57.0,14.807017543859649,0.026045543404073068,1.0163983004656438,0.425,0.0,0.0,0.025,24985.76765155792,7,100.0,1
130,13030.0,130,74.0,12.175675675675675,0.027565286674506383,1.01927496589267,0.2982456140350877,0.0,0.0,0.025,24985.76765155792,7,100.0,1
131,13392.0,131,74.0,13.175675675675675,0.032026876060989244,1.0245250157469408,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
132,13710.0,132,74.0,14.175675675675675,0.03202687606098921,1.0302858475924743,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
133,13890.0,133,78.0,14.397435897435901,0.0303844721604257,1.0326866453002752,0.054054054054054064,0.0,0.0,0.025,24985.76765155792,7,100.0,1
134,13958.0,134,78.0,15.397435897435901,0.02957884907564091,1.0336741779356289,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
135,13980.0,135,78.0,16.397435897435898,0.029578849075640908,1.0342099170667192,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
136,13987.0,136,78.0,17.397435897435898,0.029578849075640908,1.0344613812965464,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
137,14110.0,137,78.0,18.39743589743589,0.029578849075640918,1.0361752626907617,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
138,14430.0,138,78.0,19.39743589743589,0.02957884907564091,1.0411836319910726,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
139,14788.0,139,79.0,20.139240506329113,0.029204433264556857,1.0007822406977749,0.01282051282051282,0.0,0.0,0.025,24985.76765155792,7,100.0,1
140,15053.0,140,80.0,20.875,0.033341916719588915,1.0016258164598373,0.012658227848101266,0.0,0.0,0.025,24985.76765155792,7,100.0,1
141,15185.0,141,80.0,21.875,0.03756813031530736,1.0039974245635128,0.0,0.0,0.0,0.025,24985.76765155792,7,100.0,1
